================ Training Loss (Sat Jun 18 08:01:30 2022) ================
(epoch: 5, iters: 4, time: 0.095, data: 0.200) G_GAN: 0.353 G_L1: 17.785 D_real: 0.105 D_fake: 0.484 
(epoch: 9, iters: 8, time: 0.155, data: 0.000) G_GAN: 0.623 G_L1: 10.374 D_real: 0.431 D_fake: 0.754 
(epoch: 13, iters: 12, time: 0.097, data: 0.000) G_GAN: 0.643 G_L1: 9.652 D_real: 0.313 D_fake: 0.794 
(epoch: 17, iters: 16, time: 0.250, data: 0.003) G_GAN: 0.523 G_L1: 13.841 D_real: 0.229 D_fake: 0.522 

(epoch: 21, iters: 20, time: 0.089, data: 0.002) G_GAN: 0.847 G_L1: 7.873 D_real: 0.830 D_fake: 0.524 
(epoch: 25, iters: 24, time: 0.097, data: 0.002) G_GAN: 0.702 G_L1: 15.384 D_real: 0.611 D_fake: 0.605 
(epoch: 30, iters: 4, time: 0.094, data: 0.235) G_GAN: 0.828 G_L1: 6.415 D_real: 0.766 D_fake: 0.590 
(epoch: 34, iters: 8, time: 0.243, data: 0.000) G_GAN: 0.653 G_L1: 5.069 D_real: 0.648 D_fake: 0.751 
(epoch: 38, iters: 12, time: 0.098, data: 0.000) G_GAN: 0.690 G_L1: 12.368 D_real: 0.579 D_fake: 0.701 
(epoch: 42, iters: 16, time: 0.102, data: 0.002) G_GAN: 0.731 G_L1: 4.170 D_real: 0.732 D_fake: 0.657 
(epoch: 46, iters: 20, time: 0.101, data: 0.003) G_GAN: 0.716 G_L1: 5.539 D_real: 0.731 D_fake: 0.659 
(epoch: 50, iters: 24, time: 0.276, data: 0.002) G_GAN: 0.675 G_L1: 4.220 D_real: 0.682 D_fake: 0.662 
(epoch: 55, iters: 4, time: 0.093, data: 0.187) G_GAN: 0.539 G_L1: 10.757 D_real: 0.533 D_fake: 0.635 
(epoch: 59, iters: 8, time: 0.098, data: 0.000) G_GAN: 0.709 G_L1: 4.996 D_real: 0.710 D_fake: 0.620 
(epoch: 63, iters: 12, time: 0.098, data: 0.002) G_GAN: 0.656 G_L1: 9.972 D_real: 0.604 D_fake: 0.732 
(epoch: 67, iters: 16, time: 0.323, data: 0.004) G_GAN: 0.706 G_L1: 3.855 D_real: 0.715 D_fake: 0.702 
(epoch: 71, iters: 20, time: 0.099, data: 0.002) G_GAN: 0.739 G_L1: 5.105 D_real: 0.732 D_fake: 0.672 
(epoch: 75, iters: 24, time: 0.099, data: 0.002) G_GAN: 0.703 G_L1: 2.983 D_real: 0.702 D_fake: 0.684 
(epoch: 80, iters: 4, time: 0.104, data: 0.256) G_GAN: 0.700 G_L1: 5.241 D_real: 0.687 D_fake: 0.690 
(epoch: 84, iters: 8, time: 0.378, data: 0.002) G_GAN: 0.716 G_L1: 3.464 D_real: 0.719 D_fake: 0.702 
(epoch: 88, iters: 12, time: 0.097, data: 0.003) G_GAN: 0.794 G_L1: 7.933 D_real: 0.757 D_fake: 0.610 
(epoch: 92, iters: 16, time: 0.103, data: 0.002) G_GAN: 0.719 G_L1: 3.246 D_real: 0.720 D_fake: 0.668 
(epoch: 96, iters: 20, time: 0.104, data: 0.002) G_GAN: 0.725 G_L1: 8.060 D_real: 0.732 D_fake: 0.660 
(epoch: 100, iters: 24, time: 0.408, data: 0.002) G_GAN: 0.685 G_L1: 2.615 D_real: 0.686 D_fake: 0.702 
(epoch: 105, iters: 4, time: 0.097, data: 0.215) G_GAN: 0.636 G_L1: 4.807 D_real: 0.650 D_fake: 0.712 
(epoch: 109, iters: 8, time: 0.103, data: 0.000) G_GAN: 0.688 G_L1: 2.416 D_real: 0.692 D_fake: 0.686 
(epoch: 113, iters: 12, time: 0.101, data: 0.004) G_GAN: 0.707 G_L1: 3.175 D_real: 0.706 D_fake: 0.687 
(epoch: 117, iters: 16, time: 0.461, data: 0.002) G_GAN: 0.693 G_L1: 2.656 D_real: 0.695 D_fake: 0.685 
(epoch: 121, iters: 20, time: 0.102, data: 0.002) G_GAN: 0.694 G_L1: 2.948 D_real: 0.694 D_fake: 0.702 
(epoch: 125, iters: 24, time: 0.101, data: 0.002) G_GAN: 0.688 G_L1: 3.055 D_real: 0.691 D_fake: 0.681 
(epoch: 130, iters: 4, time: 0.099, data: 0.184) G_GAN: 0.686 G_L1: 3.721 D_real: 0.687 D_fake: 0.719 
(epoch: 134, iters: 8, time: 0.503, data: 0.000) G_GAN: 0.716 G_L1: 4.423 D_real: 0.708 D_fake: 0.671 
(epoch: 138, iters: 12, time: 0.101, data: 0.002) G_GAN: 0.699 G_L1: 2.885 D_real: 0.699 D_fake: 0.687 
(epoch: 142, iters: 16, time: 0.105, data: 0.002) G_GAN: 0.699 G_L1: 2.420 D_real: 0.700 D_fake: 0.684 
(epoch: 146, iters: 20, time: 0.100, data: 0.002) G_GAN: 0.700 G_L1: 3.679 D_real: 0.700 D_fake: 0.691 
(epoch: 150, iters: 24, time: 0.616, data: 0.002) G_GAN: 0.698 G_L1: 3.151 D_real: 0.698 D_fake: 0.685 
(epoch: 155, iters: 4, time: 0.096, data: 0.239) G_GAN: 0.702 G_L1: 3.513 D_real: 0.701 D_fake: 0.684 
(epoch: 159, iters: 8, time: 0.095, data: 0.001) G_GAN: 0.696 G_L1: 2.293 D_real: 0.696 D_fake: 0.690 
(epoch: 163, iters: 12, time: 0.101, data: 0.000) G_GAN: 0.703 G_L1: 2.512 D_real: 0.703 D_fake: 0.685 
(epoch: 167, iters: 16, time: 0.589, data: 0.002) G_GAN: 0.697 G_L1: 1.850 D_real: 0.695 D_fake: 0.715 
(epoch: 171, iters: 20, time: 0.102, data: 0.002) G_GAN: 0.700 G_L1: 2.389 D_real: 0.700 D_fake: 0.692 
(epoch: 175, iters: 24, time: 0.094, data: 0.002) G_GAN: 0.697 G_L1: 2.306 D_real: 0.696 D_fake: 0.690 
(epoch: 180, iters: 4, time: 0.097, data: 0.182) G_GAN: 0.692 G_L1: 2.675 D_real: 0.692 D_fake: 0.689 
(epoch: 184, iters: 8, time: 0.630, data: 0.001) G_GAN: 0.696 G_L1: 2.898 D_real: 0.696 D_fake: 0.690 
(epoch: 188, iters: 12, time: 0.101, data: 0.002) G_GAN: 0.695 G_L1: 2.891 D_real: 0.694 D_fake: 0.690 
(epoch: 192, iters: 16, time: 0.102, data: 0.002) G_GAN: 0.696 G_L1: 3.155 D_real: 0.695 D_fake: 0.691 
(epoch: 196, iters: 20, time: 0.102, data: 0.002) G_GAN: 0.698 G_L1: 1.913 D_real: 0.698 D_fake: 0.689 
(epoch: 200, iters: 24, time: 0.670, data: 0.002) G_GAN: 0.695 G_L1: 4.306 D_real: 0.695 D_fake: 0.691 
(epoch: 205, iters: 4, time: 0.102, data: 0.185) G_GAN: 0.696 G_L1: 3.080 D_real: 0.696 D_fake: 0.693 
(epoch: 209, iters: 8, time: 0.099, data: 0.002) G_GAN: 0.693 G_L1: 2.849 D_real: 0.693 D_fake: 0.693 
(epoch: 213, iters: 12, time: 0.100, data: 0.001) G_GAN: 0.695 G_L1: 3.017 D_real: 0.695 D_fake: 0.694 
(epoch: 217, iters: 16, time: 0.806, data: 0.003) G_GAN: 0.684 G_L1: 3.064 D_real: 0.688 D_fake: 0.691 
(epoch: 221, iters: 20, time: 0.098, data: 0.002) G_GAN: 0.698 G_L1: 1.938 D_real: 0.698 D_fake: 0.688 
(epoch: 225, iters: 24, time: 0.102, data: 0.006) G_GAN: 0.695 G_L1: 1.538 D_real: 0.695 D_fake: 0.691 
(epoch: 230, iters: 4, time: 0.103, data: 0.225) G_GAN: 0.700 G_L1: 2.684 D_real: 0.699 D_fake: 0.687 
(epoch: 234, iters: 8, time: 0.768, data: 0.000) G_GAN: 0.692 G_L1: 2.110 D_real: 0.692 D_fake: 0.689 
(epoch: 238, iters: 12, time: 0.101, data: 0.002) G_GAN: 0.700 G_L1: 1.753 D_real: 0.698 D_fake: 0.724 
(epoch: 242, iters: 16, time: 0.105, data: 0.002) G_GAN: 0.697 G_L1: 1.882 D_real: 0.697 D_fake: 0.690 
(epoch: 246, iters: 20, time: 0.103, data: 0.002) G_GAN: 0.692 G_L1: 2.283 D_real: 0.692 D_fake: 0.693 
(epoch: 250, iters: 24, time: 0.805, data: 0.002) G_GAN: 0.695 G_L1: 4.371 D_real: 0.694 D_fake: 0.692 
(epoch: 255, iters: 4, time: 0.099, data: 0.174) G_GAN: 0.694 G_L1: 1.233 D_real: 0.694 D_fake: 0.690 
(epoch: 259, iters: 8, time: 0.099, data: 0.000) G_GAN: 0.690 G_L1: 4.251 D_real: 0.690 D_fake: 0.690 
(epoch: 263, iters: 12, time: 0.100, data: 0.000) G_GAN: 0.688 G_L1: 2.211 D_real: 0.687 D_fake: 0.698 
(epoch: 267, iters: 16, time: 0.935, data: 0.003) G_GAN: 0.687 G_L1: 1.849 D_real: 0.688 D_fake: 0.689 
(epoch: 271, iters: 20, time: 0.104, data: 0.002) G_GAN: 0.693 G_L1: 1.443 D_real: 0.693 D_fake: 0.694 
(epoch: 275, iters: 24, time: 0.101, data: 0.002) G_GAN: 0.696 G_L1: 2.367 D_real: 0.696 D_fake: 0.690 
(epoch: 280, iters: 4, time: 0.100, data: 0.170) G_GAN: 0.688 G_L1: 1.296 D_real: 0.688 D_fake: 0.695 
(epoch: 284, iters: 8, time: 0.887, data: 0.001) G_GAN: 0.677 G_L1: 1.964 D_real: 0.678 D_fake: 0.705 
(epoch: 288, iters: 12, time: 0.100, data: 0.000) G_GAN: 0.697 G_L1: 1.484 D_real: 0.696 D_fake: 0.695 
(epoch: 292, iters: 16, time: 0.103, data: 0.002) G_GAN: 0.692 G_L1: 1.394 D_real: 0.691 D_fake: 0.695 
(epoch: 296, iters: 20, time: 0.103, data: 0.002) G_GAN: 0.694 G_L1: 1.241 D_real: 0.694 D_fake: 0.699 
(epoch: 300, iters: 24, time: 0.998, data: 0.002) G_GAN: 0.698 G_L1: 1.293 D_real: 0.698 D_fake: 0.688 
